division,district,block,cluster,school,week,teachers_registered,baseline_assessments,baseline_average_level,tutoring_calls,endline_assessments,endline_average_level
KALABURAGI,KALBURGI,GULBARGA SOUTH,FARATABAD,GOVT HPS GAROOR [B],2025-01-27/2025-02-02,3,5,1.2,3,0,
KALABURAGI,KALBURGI,GULBARGA SOUTH,FARATABAD,GOVT HPS GAROOR [B],2025-02-03/2025-02-09,3,4,2.25,8,0,
KALABURAGI,KALBURGI,GULBARGA SOUTH,FARATABAD,GOVT HPS GAROOR [B],2025-02-10/2025-02-16,1,2,3.0,2,1,4.0
KALABURAGI,KALBURGI,GULBARGA SOUTH,FARATABAD,GOVT HPS GAROOR [B],2025-02-17/2025-02-23,1,0,,2,1,4.0
KALABURAGI,KALBURGI,GULBARGA SOUTH,FARATABAD,GOVT HPS GAROOR [B],2025-02-24/2025-03-02,1,0,,0,0,
KALABURAGI,BIDAR,BIDAR,NAGORA,GOVT HPS GHODEPALLI,2025-02-03/2025-02-09,3,9,1.0,12,2,3.0
KALABURAGI,BIDAR,BIDAR,NAGORA,GOVT HPS GHODEPALLI,2025-02-10/2025-02-16,3,11,1.0909090909090908,51,15,2.7333333333333334
KALABURAGI,YADAGIRI,YADGIR,GURUMITKAL,GOVT HPS GIRLS GURUMITKAL,2025-02-10/2025-02-16,1,4,1.25,2,1,1.0
KALABURAGI,KALBURGI,GULBARGA NORTH,HARSOOR,GOVT HPS GIRLS HARSOOR,2025-02-24/2025-03-02,1,1,1.0,0,2,3.5
KALABURAGI,KALBURGI,GULBARGA NORTH,MAHAGAON,GOVT HPS GIRLS MAHAGAON,2025-02-24/2025-03-02,1,0,,2,1,4.0
KALABURAGI,KALBURGI,SEDAM,SEDAM EAST,GOVT HPS GIRLS SEDAM,2025-02-10/2025-02-16,3,6,1.0,0,0,
KALABURAGI,KALBURGI,CHINCHOLI,SULEPETH,GOVT HPS GIRLS SULEPETH,2025-02-24/2025-03-02,2,1,3.0,0,0,
KALABURAGI,BIDAR,BHALKI,KANAJI,GOVT HPS GODHIHIPPARGA,2025-02-10/2025-02-16,1,1,1.0,4,1,4.0
DHARWAD,VIJAYAPURA,CHADACHAN,BARADOL,GOVT HPS GODIHAL,2025-02-17/2025-02-23,2,19,2.5789473684210527,48,13,3.769230769230769
DHARWAD,VIJAYAPURA,CHADACHAN,BARADOL,GOVT HPS GODIHAL,2025-02-24/2025-03-02,3,29,0.20689655172413793,91,19,3.789473684210526
KALABURAGI,YADAGIRI,SHORAPUR,DEVATKAL,GOVT HPS GODIHAL(T),2025-02-03/2025-02-09,3,4,2.0,5,0,
KALABURAGI,KALBURGI,SEDAM,MUDHOL,GOVT HPS GOPANPALLI G,2025-02-03/2025-02-09,1,1,1.0,0,0,
KALABURAGI,KALBURGI,SEDAM,MUDHOL,GOVT HPS GOPANPALLI G,2025-02-10/2025-02-16,1,8,1.0,0,0,
KALABURAGI,KALBURGI,CHITTAPUR,KORWAR,GOVT HPS GOTUR,2025-02-03/2025-02-09,2,20,1.35,34,6,4.0
KALABURAGI,KALBURGI,CHITTAPUR,KORWAR,GOVT HPS GOTUR,2025-02-10/2025-02-16,2,3,0.0,5,0,
KALABURAGI,KALBURGI,CHITTAPUR,KORWAR,GOVT HPS GOTUR,2025-02-17/2025-02-23,1,0,,6,0,
KALABURAGI,YADAGIRI,SHORAPUR,NAGANUR,GOVT HPS GOUDAGERA,2025-02-03/2025-02-09,1,1,1.0,1,0,
KALABURAGI,YADAGIRI,SHORAPUR,NAGANUR,GOVT HPS GOUDAGERA,2025-02-10/2025-02-16,1,1,1.0,2,1,4.0
KALABURAGI,KALBURGI,CHINCHOLI,CHIMMAIDALAI,GOVT HPS GOUDANAHALLI,2025-02-24/2025-03-02,1,1,4.0,1,1,4.0
